id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ cho việc khắc phục (resolution) và phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the information provided in the retrieved chunks, specifically the SLA for ticket P1 regarding initial response and resolution times.",5,The answer directly addresses the user's query about the SLA for ticket P1.,5,Retrieved: 1/1 expected sources,5,"The answer includes all key points from the expected answer, mentioning both the initial response time and the resolution time.",variant_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer is directly supported by the retrieved chunks, specifically chunk [1] and chunk [3], which state that customers can request a refund within 7 working days from the order confirmation.",5,The answer directly addresses the user's query about the timeframe for requesting a refund.,5,Retrieved: 1/1 expected sources,5,"The answer includes all key points from the expected answer, clearly stating the 7-day timeframe and the condition related to the order confirmation.",variant_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the information found in the retrieved chunks, specifically mentioning the required approvals for Level 3 access.",5,The answer directly addresses the user's query about who must approve Level 3 access.,5,Retrieved: 1/1 expected sources,5,"The answer includes all key points from the expected answer, specifying the three approvers for Level 3 access.",variant_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer accurately reflects the information in the retrieved chunks, specifically mentioning that digital products are non-refundable unless there is a manufacturer error.",5,The answer directly addresses the user's query about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,4,The answer covers the main point that digital products are non-refundable but could have explicitly mentioned the 7-day request window and the condition of manufacturer error for clarity.,variant_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is directly supported by the retrieved chunk, which confirms that the account is locked after 5 consecutive failed login attempts.",5,The answer directly addresses the user's query about how many failed login attempts lead to an account being locked.,5,Retrieved: 1/1 expected sources,5,"The answer fully covers the key point from the expected answer, stating the exact number of failed attempts required for the account to be locked.",variant_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the information found in the retrieved chunks, particularly from chunk [3], which details the escalation process for P1 incidents.",4,"The answer is relevant to the query about escalation in P1 incidents, but it does not mention the automatic escalation to a Senior Engineer if there is no response within 10 minutes, which is a key aspect of the expected answer.",5,Retrieved: 1/1 expected sources,3,"The answer covers the temporary permission aspect of escalation but misses the automatic escalation process to a Senior Engineer, which is a significant part of the expected answer.",variant_hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,4,"The answer is mostly grounded in the retrieved chunks, specifically chunk [1], which describes the document's purpose. However, it does not mention the current name of the document as 'Access Control SOP'.",5,The answer directly addresses the user query about the Approval Matrix for system access.,5,Retrieved: 1/1 expected sources,3,"The answer lacks the information about the current name of the document, which is a key point in the expected answer.",variant_hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information found in the retrieved chunks, specifically stating that employees can work remotely a maximum of 2 days per week after the probation period and that approval from the Team Lead is required.",5,The answer directly addresses the user's query about the maximum number of remote work days allowed per week.,5,Retrieved: 1/1 expected sources,5,"The answer includes all key points from the expected answer, mentioning both the maximum number of remote days and the requirement for Team Lead approval.",variant_hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,The answer does not reference any of the retrieved chunks and does not provide accurate information about ERR-403-AUTH.,1,The answer does not address the user's query about ERR-403-AUTH at all.,,No expected sources,1,"The answer fails to cover any key points from the expected answer, such as the nature of the error or how to handle it.",variant_hybrid
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin cụ thể nào về quy trình hoàn tiền khẩn cấp cho khách hàng VIP trong bối cảnh đã cung cấp. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",3,"The answer states that there is no specific information about the refund process for VIP customers, which is partially accurate. However, it does not reference the retrieved chunks that outline the standard refund process.",3,The answer addresses the query about the refund process for VIP customers but does not provide a clear answer regarding whether the process differs from standard procedures.,5,Retrieved: 1/1 expected sources,2,"The answer lacks key points from the expected answer, such as the absence of a special process for VIP customers and the standard timeline for refunds.",variant_hybrid
